search URL:,https://patents.google.com/?q=%28%22livestock+waste%22+OR+manure+OR+%22animal+waste%22+OR+%22poultry+litter%22+OR+%22swine+manure%22%29+AND+%28processing+OR+treatment+OR+recycling+OR+utilization%29&oq=%28%22livestock+waste%22+OR+manure+OR+%22animal+waste%22+OR+%22poultry+litter%22+OR+%22swine+manure%22%29+AND+%28processing+OR+treatment+OR+recycling+OR+utilization%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-102173931-B,Animal manure carbon fertilizer and production method thereof ,青岛博迈斯环保技术有限公司,朱准平,2011-01-17,2011-01-17,2014-01-01,2014-01-01,https://patents.google.com/patent/CN102173931B/en,https://patentimages.storage.googleapis.com/5b/e6/30/ed08c5e1496f9e/HSA00000419000100011.png
US-6524632-B2,Process for recovering feed-grade protein from animal manure ,Food Development Corporation,Henry H. Kartchner,2001-02-16,2001-02-16,2003-02-25,2003-02-25,https://patents.google.com/patent/US6524632B2/en,https://patentimages.storage.googleapis.com/b9/07/76/43f28fa13e22d2/US06524632-20030225-D00001.png
US-7966741-B2,Process and apparatus for manufacture of fertilizer products from manure and sewage ,"Earthrenew, Inc.","Brian N. Gorbell, Alvin W. Fedkenheuer, John S. Jonasson, Alexander Starosud",2004-07-19,2007-10-30,2011-06-28,2011-06-28,https://patents.google.com/patent/US7966741B2/en,https://patentimages.storage.googleapis.com/fb/97/ad/89e03ad1655be6/US07966741-20110628-D00000.png
CN-101774828-B,Composting method for biologically dehydrating livestock manure ,浙江省农业科学院,"朱凤香, 薛智勇, 王卫平, 陈晓旸, 洪春来, 吴传珍, 奚辉",2010-01-28,2010-01-28,2012-09-05,2012-09-05,https://patents.google.com/patent/CN101774828B/en,
CN-106116736-B,System and method for treating feces and urine of livestock and poultry and placenta of livestock and poultry died of diseases in large-scale farm ,"湖南屎壳郎环境科技有限公司, 汪深","汪深, 匡文, 王均灿",2016-07-11,2016-07-11,2021-12-24,2021-12-24,https://patents.google.com/patent/CN106116736B/en,https://patentimages.storage.googleapis.com/e5/ac/2f/457673b61a4468/160630165436.png
KR-100241525-B1,Animal waste treatment material and its manufacturing method ,"히로시 이토오, 가부시키가이샤 다이끼",히로시 이토오,1992-01-31,1993-02-01,2000-03-02,2000-03-02,https://patents.google.com/patent/KR100241525B1/en,
CN-101792340-B,Pig manure centralized treatment and resource utilization method ,董滨,"金波, 董滨",2010-03-25,2010-03-25,2012-09-19,2012-09-19,https://patents.google.com/patent/CN101792340B/en,https://patentimages.storage.googleapis.com/4c/19/c7/d5f99f38ff16de/HSA00000046297200011.png
CN-103649018-B,Organic fertilizer production system ,株式会社宜资,"北隅和成, 中野康晴, 波卢托娃 雅罗斯拉娃, 雅罗斯拉娃波卢托娃, 永江公二, 关矢辽, 关矢辽一, 山协久树",2011-04-28,2012-04-05,2016-08-17,2016-08-17,https://patents.google.com/patent/CN103649018B/en,
CN-106824972-B,Comprehensive treatment system and method for breeding pollution of large-scale pig farm ,"湖南屎壳郎环境科技有限公司, 汪深","汪深, 匡文, 王均灿",2016-07-11,2016-07-11,2023-04-07,2023-04-07,https://patents.google.com/patent/CN106824972B/en,https://patentimages.storage.googleapis.com/08/60/a7/3fce860132db2c/160705101822.png
US-5666905-A,Animal production building and methods of producing animals and processing animal waste ,"Envirologic, Inc.","Robert J. Mackin, Thomas A. Menke",1995-06-08,1995-06-08,1997-09-16,1997-09-16,https://patents.google.com/patent/US5666905A/en,https://patentimages.storage.googleapis.com/50/98/fe/4596f48749fdee/US5666905-drawings-page-2.png
CN-101415504-B,"Biomass treatment methods, compost, livestock bedding, and treatment agents for biomass ",丰田自动车株式会社,"亦野浩, 杉山育子, 江本志织, 中村周子, 福村郁夫, 高桥理",2006-03-31,2007-03-30,2015-04-01,2015-04-01,https://patents.google.com/patent/CN101415504B/en,
KR-100845614-B1,Slurry Separation and Biogas Production Technology ,그린 팜 에너지 에이/에스 에이에프 2. 쥴라이 2004,"토르벤 에이. 본데, 라스 죄르겐 페더슨",2000-08-22,2001-08-22,2008-07-10,2008-07-10,https://patents.google.com/patent/KR100845614B1/en,https://patentimages.storage.googleapis.com/47/4f/34/5a54bb49152fd2/112003006182846-pct00001.png
US-RE49972-E,Poultry growing robot ,"Energy Americas, LLC",Yunsheng Xu,2018-02-07,2023-03-03,2024-05-21,2024-05-21,https://patents.google.com/patent/USRE49972E1/en,https://patentimages.storage.googleapis.com/eb/20/4f/80595f8fa4cec3/USRE049972-20240521-D00000.png
RU-2627874-C2,Systems and methods of extracting nutritive substances ,"Дво, Инк.","Стивен У. ДВОРАК, Шулинь ЧЭНЬ, Крейг ФРИАР, Брайан Дж. ВАНЛУ, Цюаньбао ЧЖАО",2010-06-11,2011-06-10,2017-08-14,2017-08-14,https://patents.google.com/patent/RU2627874C2/en,https://patentimages.storage.googleapis.com/38/58/04/e1b51979b879d3/00000014.png
KR-102180753-B1,Methods for extinction of livestock excreta using enzymatic water and methods of compost manufacturing using them ,주식회사 상우바이오,백광래,2020-06-23,2020-06-23,2020-11-19,2020-11-19,https://patents.google.com/patent/KR102180753B1/en,https://patentimages.storage.googleapis.com/bc/72/5a/66fa87ec4285a1/112020064270533-pat00001.png
US-6682578-B2,Methods for producing fertilizers and feed supplements from agricultural and industrial wastes ,"Crystal Peak Technologies, Llc",Larry P. Sower,1998-01-23,2002-09-06,2004-01-27,2004-01-27,https://patents.google.com/patent/US6682578B2/en,https://patentimages.storage.googleapis.com/8e/0e/39/7ee85b6841af13/US06682578-20040127-D00000.png
KR-100775403-B1,Animal waste treatment materials that can spill into the toilet ,유니참 팻케어 가부시키가이샤,"오치켄고, 이케가미타케시",2000-06-06,2001-06-05,2007-11-12,2007-11-12,https://patents.google.com/patent/KR100775403B1/en,https://patentimages.storage.googleapis.com/67/a4/f7/40b1585b6b1c38/112001013384374-pat00001.png
CN-109534636-B,Production system for comprehensively treating and utilizing waste straw and livestock and poultry manure ,湖北金日生态能源股份有限公司,"杜从新, 常欢, 何志伟, 李锦秀",2018-12-05,2018-12-05,2021-08-31,2021-08-31,https://patents.google.com/patent/CN109534636B/en,https://patentimages.storage.googleapis.com/96/28/52/7af4fbba867090/181205210245.png
TW-I606027-B,Organic fertilizer and feed manufacturing system ,宜資股份有限公司,"北隅和成, 松島幹郎, 中野康晴, 雅羅斯拉娃 波盧托娃, 永江公二, 關矢遼一, 山脇久樹",2012-10-26,2013-07-19,2017-11-21,2017-11-21,https://patents.google.com/patent/TWI606027B/en,
CN-102633539-B,Efficient bio-organic fertilizer and production process thereof ,无锡市路华肥料科技有限公司,丁路,2012-05-04,2012-05-04,2015-06-24,2015-06-24,https://patents.google.com/patent/CN102633539B/en,
US-2021009448-A1,Treatment system and method for rural black and odorous water and manure ,"Hunan Sakal Environmental Science and Technology Co., Ltd.",Shen Wang,2018-07-02,2020-09-30,2021-01-14,,https://patents.google.com/patent/US20210009448A1/en,https://patentimages.storage.googleapis.com/7e/1c/fd/0133933c070802/US20210009448A1-20210114-D00000.png
CN-111876351-B,Bacillus belgii and application thereof in relieving apple continuous cropping obstacle ,山东农业大学,"尹承苗, 闫助冰, 毛志泉, 陈学森, 沈向, 胡艳丽",2020-07-23,2020-07-23,2021-11-19,2021-11-19,https://patents.google.com/patent/CN111876351B/en,https://patentimages.storage.googleapis.com/ee/5d/73/ca26dd123a1c4f/HDA0002597710350000011.png
CN-112266881-B,Bacillus amyloliquefaciens and application thereof in preventing and treating apple continuous cropping obstacle ,山东农业大学,"尹承苗, 段亚楠, 毛志泉, 刘鑫, 陈学森, 沈向",2020-10-20,2020-10-20,2021-11-19,2021-11-19,https://patents.google.com/patent/CN112266881B/en,https://patentimages.storage.googleapis.com/08/12/86/3fefa7c2fb6ddd/HDA0002733269180000011.png
KR-102382105-B1,Novel organic fertilizer for controlling contamination or accumulation of heavy metal cadmium in rice and method for manufacturing and using the same ,차이나 내셔널 라이스 리서치 인스티튜트,"치나 황, 궈성 샤오",2019-11-18,2019-11-20,2022-04-01,2022-04-01,https://patents.google.com/patent/KR102382105B1/en,
CN-210017379-U,Pig raising excrement and urine circulation processing device ,刘坚,刘坚,2019-03-06,2019-03-06,2020-02-07,2020-02-07,https://patents.google.com/patent/CN210017379U/en,https://patentimages.storage.googleapis.com/b6/65/e2/33028ae6bed595/HDA0001986803740000012.png
CN-107595512-B,Nursing bed with urine and feces treatment system ,苏州诺研机器人科技有限公司,"梁雅斌, 骆敏舟, 沈晓艳, 朱爱洁",2017-07-21,2017-09-18,2024-03-08,2024-03-08,https://patents.google.com/patent/CN107595512B/en,
CN-109912155-B,Integrated technology and application method for harmless treatment of livestock and poultry manure ,中国农业大学,"张涛, 周亚岚, 江荣风",2019-03-20,2019-03-20,2021-04-06,2021-04-06,https://patents.google.com/patent/CN109912155B/en,https://patentimages.storage.googleapis.com/44/76/f8/63d88affb07b2b/HDA0002000894440000011.png
CN-111405846-B,Agricultural production method of brassica carinata oil seed crops ,纽希得全球创新有限公司,"S·法比扬斯基, M·林登鲍姆, M·贝纳利",2017-09-11,2018-09-10,2022-09-13,2022-09-13,https://patents.google.com/patent/CN111405846B/en,https://patentimages.storage.googleapis.com/71/3b/1e/fab60762ea2da8/HDA0002479044730000011.png
JP-5718865-B2,Fertilizer composition and method of use ,"アーチャー−ダニエルズ−ミッドランド カンパニー, アーチャー−ダニエルズ−ミッドランド  カンパニー","バインダー，トーマス，ポール, ファス，フィリップ，シー．, ファーチッチ，スティーブン，ジェイ．, レス，ジョン，エフ．, マットロック，マーク，ジー．, トレロ，ウィリアム，エー．",2005-10-14,2012-08-08,2015-05-13,2015-05-13,https://patents.google.com/patent/JP5718865B2/en,https://patentimages.storage.googleapis.com/e0/48/18/c969bde6e33260/0005718865-35.png
NL-1013097-C2,Manure processing and / or processing. ,Wijngaart Adriaan J Van Der,Adriaan Hubertus Joh Wijngaart,1999-09-20,1999-09-20,2001-03-21,2001-03-21,https://patents.google.com/patent/NL1013097C2/en,
